pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,st_age,rastr,ra,decstr,dec,sy_dist,sy_bmag,sy_vmag,hwc
Kepler-1951 b,Kepler-1951,1,1,1,Transit,2021,20.65780067,,2.321,0.207,,,,,,,,5468.0,1.31,0.92,0.14,[Fe/H],4.17,,19h21m59.98s,290.4999139,+40d17m15.78s,40.2877161,1277.32,15.329,14.367,0
Kepler-1952 b,Kepler-1952,1,1,1,Transit,2021,27.21080017,,1.239,0.111,,,,,,,,5973.0,1.3,0.92,-0.34,[Fe/H],4.17,,19h12m18.34s,288.0764082,+43d57m30.54s,43.9584839,852.062,14.636,13.828,0
Kepler-1953 b,Kepler-1953,1,1,1,Transit,2021,6.24565983,,1.286,0.115,,,,,,,,4858.0,0.71,0.79,-0.02,[Fe/H],4.62,,19h11m52.34s,287.9680995,+46d28m14.15s,46.4705959,605.631,16.91,15.936,0
Kepler-1954 b,Kepler-1954,1,1,1,Transit,2021,5.88343,,1.802,0.161,,,,,,,,5840.0,0.85,0.94,-0.24,[Fe/H],4.55,,19h52m00.70s,298.0029203,+43d21m16.52s,43.3545882,1373.83,16.658,15.875,0
Kepler-1955 b,Kepler-1955,1,1,1,Transit,2021,14.26519966,,1.167,0.104,,,,,,,,5825.0,1.29,1.05,0.14,[Fe/H],4.24,,19h58m08.34s,299.5347603,+40d28m39.91s,40.4777528,449.351,13.497,12.609,0
Kepler-1956 b,Kepler-1956,1,1,1,Transit,2021,5.94371986,,1.089,0.097,,,,,,,,4391.0,0.68,0.67,0.04,[Fe/H],4.6,,19h38m29.00s,294.6208506,+49d53m39.19s,49.894219,360.468,17.283,15.989,0
Kepler-1957 b,Kepler-1957,1,1,1,Transit,2021,2.18662,,0.944,0.084,,,,,,,,4904.0,0.77,0.74,0.0,[Fe/H],4.54,,19h34m50.74s,293.711436,+47d53m14.81s,47.8874467,460.899,16.096,15.13,0
Kepler-1958 b,Kepler-1958,1,1,1,Transit,2021,9.32861996,,2.051,0.183,,,,,,,,5749.0,0.86,0.96,-0.1,[Fe/H],4.55,,19h16m25.00s,289.1041643,+41d41m24.41s,41.6901138,1320.38,16.36,15.486,0
Kepler-1959 b,Kepler-1959,1,1,1,Transit,2021,6.38669014,,1.143,0.102,,,,,,,,5071.0,0.81,0.77,-0.02,[Fe/H],4.5,,19h44m05.35s,296.022301,+44d43m57.61s,44.7326691,479.263,16.101,14.797,0
Kepler-196 b,Kepler-196,1,1,3,Transit,2014,20.739886,0.138,1.9,0.17,,,,,,,,5128.0,0.78,,,,4.57,,18h59m52.44s,284.9685077,+42d04m44.84s,42.0791214,451.312,15.132,14.239,0
Kepler-196 c,Kepler-196,1,1,3,Transit,2014,47.427737,0.24,2.24,0.2,,,,,,,,5128.0,0.78,,,,4.57,,18h59m52.44s,284.9685077,+42d04m44.84s,42.0791214,451.312,15.132,14.239,0
Kepler-196 d,Kepler-196,1,1,3,Transit,2021,122.0800018,,2.661,0.237,,,,,,,,5132.0,0.77,0.81,-0.06,[Fe/H],4.57,,18h59m52.44s,284.9685077,+42d04m44.84s,42.0791214,451.312,15.132,14.239,0
Kepler-1960 b,Kepler-1960,1,1,1,Transit,2021,2.29794002,,1.307,0.117,,,,,,,,6371.0,1.07,1.12,-0.18,[Fe/H],4.43,,19h38m47.26s,294.6969361,+46d43m12.74s,46.7202043,1527.56,15.255,15.181,0
Kepler-1961 b,Kepler-1961,1,1,1,Transit,2021,5.6047101,,1.619,0.144,,,,,,,,5401.0,0.78,0.87,-0.16,[Fe/H],4.59,,19h05m19.22s,286.3300783,+39d40m59.26s,39.6831276,1042.45,16.915,15.809,0
Kepler-1962 b,Kepler-1962,1,1,1,Transit,2021,7.99145985,,1.215,0.108,,,,,,,,5700.0,1.01,1.0,0.16,[Fe/H],4.43,,19h18m11.62s,289.5483989,+40d09m50.92s,40.1641457,866.826,15.317,15.146,0
Kepler-1963 b,Kepler-1963,1,1,1,Transit,2021,1.96226001,,0.744,0.066,,,,,,,,5726.0,0.98,0.92,-0.1,[Fe/H],4.42,,19h46m21.00s,296.5875182,+47d12m25.66s,47.207129,492.847,14.815,14.054,0
Kepler-1964 b,Kepler-1964,1,1,1,Transit,2021,2.44082999,,1.781,0.159,,,,,,,,4803.0,0.7,0.75,-0.08,[Fe/H],4.62,,19h48m14.11s,297.0588033,+49d28m42.37s,49.4784362,,16.919,16.363,0
Kepler-1965 b,Kepler-1965,1,1,1,Transit,2021,41.86869812,,1.354,0.121,,,,,,,,5852.0,0.84,0.93,-0.3,[Fe/H],4.56,,19h30m03.53s,292.5147146,+38d01m19.15s,38.0219872,521.791,14.246,13.839,0
Kepler-1966 b,Kepler-1966,1,1,1,Transit,2021,8.61742973,,1.105,0.099,,,,,,,,5009.0,0.84,0.8,0.16,[Fe/H],4.49,,19h29m51.31s,292.4637788,+41d17m56.56s,41.2990438,484.601,16.078,15.222,0
Kepler-1967 b,Kepler-1967,1,1,1,Transit,2021,7.28169012,,0.73,0.065,,,,,,,,4970.0,1.81,1.0,0.32,[Fe/H],3.92,,19h56m33.03s,299.1376276,+43d29m54.50s,43.4984724,249.102,14.8,13.519,0
Kepler-1968 b,Kepler-1968,1,1,1,Transit,2021,7.2810998,,1.5,0.134,,,,,,,,5008.0,0.79,0.84,0.18,[Fe/H],4.57,,19h26m01.93s,291.5080318,+45d22m12.34s,45.3700933,750.93,17.594,16.303,0
Kepler-1969 b,Kepler-1969,1,1,1,Transit,2021,6.64752007,,1.682,0.15,,,,,,,,6046.0,1.01,1.11,0.07,[Fe/H],4.48,,19h39m08.22s,294.7842662,+49d29m31.40s,49.4920557,1204.54,16.375,15.851,0
Kepler-197 b,Kepler-197,1,2,4,Transit,2014,5.599308,0.06,1.02,0.091,,,,,,,,6004.0,1.12,,,,4.3,,19h40m54.35s,295.2264739,+50d33m33.25s,50.5592348,330.575,12.424,11.775,0
Kepler-197 c,Kepler-197,1,2,4,Transit,2014,10.349695,0.09,1.23,0.11,,,,,,,,6004.0,1.12,,,,4.3,,19h40m54.35s,295.2264739,+50d33m33.25s,50.5592348,330.575,12.424,11.775,0
Kepler-197 d,Kepler-197,1,2,4,Transit,2014,15.677563,0.119,1.22,0.109,,,,,,,,6004.0,1.12,,,,4.3,,19h40m54.35s,295.2264739,+50d33m33.25s,50.5592348,330.575,12.424,11.775,0
Kepler-197 e,Kepler-197,1,2,4,Transit,2014,25.209715,0.164,0.91,0.081,,,,,,,,6004.0,1.12,,,,4.3,,19h40m54.35s,295.2264739,+50d33m33.25s,50.5592348,330.575,12.424,11.775,0
Kepler-1972 b,Kepler-1972,1,1,2,Transit,2014,7.54425,,0.802,0.072,2.02,0.00636,Mass,0.067,,,,5818.0,1.38,1.12,0.23,[M/H],4.2,7.4,19h13m34.87s,288.3953074,+39d52m21.02s,39.8725067,287.339,12.07,11.23,0
Kepler-1972 c,Kepler-1972,1,1,2,Transit,2014,11.3295,,0.868,0.077,2.11,0.00664,Mass,0.043,,,,5818.0,1.38,1.12,0.23,[M/H],4.2,7.4,19h13m34.87s,288.3953074,+39d52m21.02s,39.8725067,287.339,12.07,11.23,0
Kepler-1976 b,Kepler-1976,1,1,1,Transit Timing Variations,2023,4.95931924,0.0565,12.21,,,,,0.0,349.4,1103.0,,5712.0,1.08,0.98,0.1,[Fe/H],4.36,,19h28m40.09s,292.16706,+48d43m39.12s,48.7275345,1314.51,16.273,15.445,0
Kepler-1977 b,Kepler-1977,1,1,1,Transit,2023,4.53702121,0.0486,1.66,,,,,0.0,95.61,798.0,,4805.0,0.69,0.77,-0.06,[Fe/H],4.63,,19h22m28.29s,290.6178587,+37d17m20.76s,37.2891002,592.711,14.906,16.047,0
Kepler-1978 b,Kepler-1978,1,1,1,Transit,2023,10.84969477,0.0914,2.67,,,,,0.0,49.3,676.0,,5251.0,0.78,0.87,-0.04,[Fe/H],4.59,,19h04m01.62s,286.0067312,+38d00m34.35s,38.0095407,865.512,14.918,15.49,0
Kepler-1979 b,Kepler-1979,1,1,1,Transit,2023,18.5084526,0.1383,29.33,,,,,0.0,51.32,683.0,,5942.0,0.94,1.03,-0.06,[Fe/H],4.51,,19h19m22.30s,289.8429062,+38d18m34.64s,38.309622,1076.27,16.126,15.484,0
Kepler-198 b,Kepler-198,1,1,3,Transit,2014,17.790037,0.131,2.82,0.252,,,,,,,,5574.0,0.94,,,,4.47,,19h22m41.55s,290.6731326,+38d41m27.62s,38.6910045,495.358,15.113,13.684,0
Kepler-198 c,Kepler-198,1,1,3,Transit,2014,49.567416,0.259,2.47,0.22,,,,,,,,5574.0,0.94,,,,4.47,,19h22m41.55s,290.6731326,+38d41m27.62s,38.6910045,495.358,15.113,13.684,0
Kepler-198 d,Kepler-198,1,1,3,Transit,2016,1.31184443,,1.53,0.136,,,,,,,,5636.0,0.93,0.97,0.04,[Fe/H],4.49,3.72,19h22m41.55s,290.6731326,+38d41m27.62s,38.6910045,495.358,15.113,13.684,0
Kepler-1980 b,Kepler-1980,1,1,1,Transit,2023,33.0257179,0.2049,2.21,,,,,0.0,23.95,564.0,,5819.0,0.99,1.05,0.14,[Fe/H],4.47,,19h40m40.13s,295.1672065,+38d38m13.34s,38.637039,1709.4,15.935,15.906,0
Kepler-1981 b,Kepler-1981,1,1,1,Transit,2023,453.54212,1.3292,9.23,,,,,0.0,5.45,390.0,,5874.0,3.01,1.52,0.12,[Fe/H],3.66,,19h11m54.11s,287.9754691,+38d44m25.08s,38.7402988,659.395,14.648,13.563,0
Kepler-1982 b,Kepler-1982,1,1,1,Transit,2023,3.82315697,0.0511,0.77,,,,,0.0,638.38,1282.0,,6202.0,1.12,1.21,0.21,[Fe/H],4.42,,19h09m38.40s,287.4099905,+39d39m31.06s,39.6586267,558.855,13.32,12.696,0
Kepler-1983 b,Kepler-1983,1,1,1,Transit,2023,7.32851947,0.0689,2.33,,,,,0.0,100.13,807.0,,5135.0,0.87,0.81,0.12,[Fe/H],4.46,,19h48m10.08s,297.042015,+39d54m43.87s,39.9121864,424.428,15.416,14.518,0
Kepler-1984 b,Kepler-1984,1,1,1,Transit,2023,1.99281234,0.0238,6.81,,,,,0.0,48.82,675.0,,3638.0,0.42,0.45,-0.14,[Fe/H],4.84,,19h25m08.41s,291.2850446,+40d43m48.08s,40.7300225,,18.353,16.192,0
Kepler-1985 b,Kepler-1985,1,1,1,Transit,2023,3.42064689,0.0426,2.27,,,,,0.0,382.68,1129.0,,5370.0,0.97,0.88,0.14,[Fe/H],4.41,,19h34m15.93s,293.5663715,+42d07m57.30s,42.1325825,,,15.223,0
Kepler-1986 b,Kepler-1986,1,1,1,Transit,2023,19.5489666,0.1307,1.89,,,,,0.0,26.62,579.0,,5549.0,0.73,0.78,-0.54,[Fe/H],4.6,,19h31m49.99s,292.9582727,+42d51m17.61s,42.8548909,912.085,16.301,15.661,0
Kepler-1987 b,Kepler-1987,1,1,4,Transit,2023,2.345863,0.0318,1.23,,,,,0.0,233.38,997.0,,4769.0,0.71,0.8,0.12,[Fe/H],4.62,,19h43m18.11s,295.8254663,+42d56m36.14s,42.9433716,595.683,,15.477,0
Kepler-1987 c,Kepler-1987,1,1,4,Transit,2023,3.64830183,0.0427,1.33,,,,,0.0,129.44,860.0,,4769.0,0.71,0.8,0.12,[Fe/H],4.62,,19h43m18.11s,295.8254663,+42d56m36.14s,42.9433716,595.683,,15.477,0
Kepler-1987 d,Kepler-1987,1,1,4,Transit,2023,5.64491415,0.0571,2.66,,,,,0.0,72.38,744.0,,4769.0,0.71,0.8,0.12,[Fe/H],4.62,,19h43m18.11s,295.8254663,+42d56m36.14s,42.9433716,595.683,,15.477,0
Kepler-1987 e,Kepler-1987,1,1,4,Transit,2023,8.74292005,0.0765,1.92,,,,,0.0,40.33,643.0,,4769.0,0.71,0.8,0.12,[Fe/H],4.62,,19h43m18.11s,295.8254663,+42d56m36.14s,42.9433716,595.683,,15.477,0
Kepler-1988 b,Kepler-1988,1,1,1,Transit,2023,11.49500229,0.1038,1.53,,,,,0.0,351.79,1105.0,,6033.0,1.79,1.13,-0.1,[Fe/H],3.98,,19h54m41.71s,298.6738034,+43d47m43.84s,43.7955099,513.426,12.894,12.128,0
Kepler-1989 b,Kepler-1989,1,1,1,Transit,2023,10.16102353,0.0918,4.62,,,,,0.0,157.97,904.0,,6032.0,1.06,1.0,-0.14,[Fe/H],4.39,,19h22m56.44s,290.7351869,+44d05m28.54s,44.091262,1252.13,12.699,14.289,0
Kepler-199 b,Kepler-199,1,1,2,Transit,2014,23.637604,0.158,3.11,0.277,,,,,,,,5644.0,0.97,,,,4.44,,19h42m14.26s,295.5594278,+40d14m10.50s,40.236249,521.054,,13.796,0
Kepler-199 c,Kepler-199,1,1,2,Transit,2014,67.093408,0.316,3.25,0.29,,,,,,,,5644.0,0.97,,,,4.44,,19h42m14.26s,295.5594278,+40d14m10.50s,40.236249,521.054,,13.796,0
Kepler-1990 b,Kepler-1990,1,1,2,Transit,2023,1.73513619,0.0286,3.27,,,,,0.0,1372.87,1554.0,,5751.0,1.07,1.03,0.21,[Fe/H],4.39,,19h58m49.14s,299.7047433,+44d26m08.54s,44.4357068,392.739,13.264,11.946,0
Kepler-1990 c,Kepler-1990,1,1,2,Transit,2023,4.06844957,0.0504,0.98,,,,,0.0,442.08,1170.0,,5751.0,1.07,1.03,0.21,[Fe/H],4.39,,19h58m49.14s,299.7047433,+44d26m08.54s,44.4357068,392.739,13.264,11.946,0
Kepler-1991 b,Kepler-1991,1,1,2,Transit,2023,13.26079792,0.1065,1.47,,,,,0.0,78.79,760.0,,5478.0,1.05,0.91,0.16,[Fe/H],4.35,,19h00m08.65s,285.0360506,+45d04m15.57s,45.0709909,855.82,,15.048,0
Kepler-1991 c,Kepler-1991,1,1,2,Transit,2023,22.79020351,0.1528,2.57,,,,,0.0,38.27,634.0,,5478.0,1.05,0.91,0.16,[Fe/H],4.35,,19h00m08.65s,285.0360506,+45d04m15.57s,45.0709909,855.82,,15.048,0
Kepler-1992 b,Kepler-1992,1,1,1,Transit,2023,15.6112238,0.1169,0.91,,,,,0.0,38.99,637.0,,5383.0,0.84,0.87,0.0,[Fe/H],4.53,,19h40m21.66s,295.0902409,+45d04m51.98s,45.0811045,532.955,14.542,13.79,0
Kepler-1993 b,Kepler-1993,1,1,1,Transit,2023,26.6565737,0.1943,4.15,,,,,0.0,157.45,903.0,,5159.0,3.06,1.37,-0.04,[Fe/H],3.6,,19h35m11.25s,293.7968548,+45d09m38.61s,45.1607261,1031.91,14.526,13.451,0
Kepler-1994 b,Kepler-1994,1,1,1,Transit,2023,4.61225043,0.053,0.51,,,,,0.0,268.27,1032.0,,5495.0,0.96,0.93,0.16,[Fe/H],4.44,,19h48m35.71s,297.1487941,+46d17m48.93s,46.2969247,241.991,12.734,12.01,0
Kepler-1995 b,Kepler-1995,1,1,1,Transit,2023,73.7578875,0.3259,4.28,,,,,0.0,4.66,375.0,,5029.0,0.93,0.85,0.48,[Fe/H],4.43,,18h57m22.25s,284.342725,+46d18m59.73s,46.3165907,595.331,16.426,15.516,0
Kepler-1996 b,Kepler-1996,1,1,2,Transit,2023,32.376183,0.1789,2.26,,,,,0.0,5.61,392.0,,4580.0,0.68,0.75,0.08,[Fe/H],4.64,,19h01m00.90s,285.2537555,+46d34m55.99s,46.5822183,440.561,14.114,15.11,0
Kepler-1996 c,Kepler-1996,1,1,2,Transit,2023,92.7297248,0.3608,2.81,,,,,0.0,1.38,276.0,,4580.0,0.68,0.75,0.08,[Fe/H],4.64,,19h01m00.90s,285.2537555,+46d34m55.99s,46.5822183,440.561,14.114,15.11,0
Kepler-1997 b,Kepler-1997,1,1,1,Transit,2023,26.7575866,0.1815,2.28,,,,,0.0,44.86,660.0,,6215.0,1.05,1.11,-0.06,[Fe/H],4.44,,19h49m55.40s,297.4808253,+46d35m20.89s,46.5891373,1502.34,15.222,15.454,0
Kepler-1998 b,Kepler-1998,1,1,1,Transit,2023,3.03267135,0.0405,0.6,,,,,0.0,468.31,1187.0,,5640.0,0.92,0.96,0.06,[Fe/H],4.49,,18h53m43.00s,283.4291536,+47d35m32.63s,47.5923973,340.965,14.226,12.74,0
Kepler-1999 b,Kepler-1999,1,1,1,Transit,2023,8.7396758,0.0713,3.29,,,,,0.0,26.17,577.0,,4406.0,0.63,0.63,-0.24,[Fe/H],4.64,,18h49m28.94s,282.3705675,+48d15m33.24s,48.259234,701.255,18.291,16.433,0
Kepler-20 b,Kepler-20,1,2,6,Transit,2011,3.6961049,0.04565,1.773,0.158,9.7,0.03052,Mass,0.083,331.0,1187.0,,5495.0,0.92,0.93,0.07,[Fe/H],,5.6,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,282.563,13.278,12.61,0
Kepler-20 c,Kepler-20,1,2,6,Transit,2011,10.8540774,0.0936,2.894,0.258,11.1,0.03492,Mass,0.076,78.7,828.0,,5495.0,0.92,0.93,0.07,[Fe/H],,5.6,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,282.563,13.278,12.61,0
Kepler-20 d,Kepler-20,1,2,6,Transit,2011,77.611455,0.3474,2.606,0.232,13.4,0.04216,Mass,0.082,5.71,430.0,,5495.0,0.92,0.93,0.07,[Fe/H],,5.6,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,282.563,13.278,12.61,0
Kepler-20 e,Kepler-20,1,2,6,Transit,2011,6.0984882,0.0637,0.821,0.073,0.76,0.00239,Mass,0.092,169.8,1004.0,,5495.0,0.92,0.93,0.07,[Fe/H],,5.6,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,282.563,13.278,12.61,0
Kepler-20 f,Kepler-20,1,2,6,Transit,2011,19.578328,0.1387,0.952,0.085,1.4,0.0044,Mass,0.094,35.9,681.0,,5495.0,0.92,0.93,0.07,[Fe/H],,5.6,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,282.563,13.278,12.61,0
Kepler-20 g,Kepler-20,1,2,6,Radial Velocity,2016,34.94,0.2055,,,19.96,0.0628,Msini,0.15,,524.0,,5495.0,0.96,0.95,0.07,[m/H],4.45,7.6,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,282.563,13.278,12.61,0
Kepler-200 b,Kepler-200,1,1,2,Transit,2014,8.594805,0.08,2.13,0.19,,,,,,,,5678.0,0.94,,,,4.45,,18h57m38.39s,284.4099503,+41d14m14.97s,41.2374928,665.912,14.833,13.932,0
Kepler-200 c,Kepler-200,1,1,2,Transit,2014,10.222157,0.09,1.59,0.142,,,,,,,,5678.0,0.94,,,,4.45,,18h57m38.39s,284.4099503,+41d14m14.97s,41.2374928,665.912,14.833,13.932,0
Kepler-2000 b,Kepler-2000,1,1,2,Transit,2023,6.38315913,0.0562,2.73,,,,,0.0,18.73,530.0,,3757.0,0.58,0.58,0.48,[Fe/H],4.68,,19h02m17.83s,285.5743032,+49d57m43.64s,49.9621218,320.588,16.781,15.642,0
Kepler-2000 c,Kepler-2000,1,1,2,Transit,2023,20.6180348,0.1228,1.57,,,,,0.0,3.92,359.0,,3757.0,0.58,0.58,0.48,[Fe/H],4.68,,19h02m17.83s,285.5743032,+49d57m43.64s,49.9621218,320.588,16.781,15.642,0
Kepler-2001 b,Kepler-2001,1,1,2,Transit,2023,1.090011,0.0197,1.04,,,,,0.0,911.28,1402.0,,5081.0,0.77,0.86,0.12,[Fe/H],4.6,,19h26m38.27s,291.6594558,+50d35m01.89s,50.5838585,776.55,17.631,15.981,0
Kepler-2001 c,Kepler-2001,1,1,2,Transit,2023,14.09258319,0.1084,1.82,,,,,0.0,30.1,597.0,,5081.0,0.77,0.86,0.12,[Fe/H],4.6,,19h26m38.27s,291.6594558,+50d35m01.89s,50.5838585,776.55,17.631,15.981,0
Kepler-201 b,Kepler-201,1,1,2,Transit,2014,25.672083,0.175,2.46,0.219,,,,,,,,6065.0,1.23,,,,4.29,,19h34m30.25s,293.626059,+41d16m22.08s,41.2728004,636.445,13.654,12.991,0
Kepler-201 c,Kepler-201,1,1,2,Transit,2014,151.884058,0.573,2.85,0.254,,,,,,,,6065.0,1.23,,,,4.29,,19h34m30.25s,293.626059,+41d16m22.08s,41.2728004,636.445,13.654,12.991,0
Kepler-202 b,Kepler-202,1,1,2,Transit,2014,4.069427,0.045,1.63,0.145,,,,,,,,4668.0,0.67,,,,4.65,,18h51m53.64s,282.9734874,+41d19m18.48s,41.3217991,285.111,15.232,14.178,0
Kepler-202 c,Kepler-202,1,1,2,Transit,2014,16.282493,0.113,1.85,0.165,,,,,,,,4668.0,0.67,,,,4.65,,18h51m53.64s,282.9734874,+41d19m18.48s,41.3217991,285.111,15.232,14.178,0
Kepler-203 b,Kepler-203,1,1,3,Transit,2014,3.162697,0.043,2.57,0.229,,,,,,,,5821.0,1.11,,,,4.36,,19h48m21.59s,297.089959,+41d23m17.05s,41.3880686,703.302,14.884,14.14,0
Kepler-203 c,Kepler-203,1,1,3,Transit,2014,5.370647,0.061,2.47,0.22,,,,,,,,5821.0,1.11,,,,4.36,,19h48m21.59s,297.089959,+41d23m17.05s,41.3880686,703.302,14.884,14.14,0
Kepler-203 d,Kepler-203,1,1,3,Transit,2014,11.32972,0.1,1.44,0.128,,,,,,,,5821.0,1.11,,,,4.36,,19h48m21.59s,297.089959,+41d23m17.05s,41.3880686,703.302,14.884,14.14,0
Kepler-204 b,Kepler-204,1,1,2,Transit,2014,14.400974,0.117,2.53,0.226,,,,,,,,5812.0,1.24,,,,4.27,,19h01m23.32s,285.347162,+41d45m42.64s,41.761845,686.723,15.387,13.977,0
Kepler-204 c,Kepler-204,1,1,2,Transit,2014,25.660593,0.173,1.79,0.16,,,,,,,,5812.0,1.24,,,,4.27,,19h01m23.32s,285.347162,+41d45m42.64s,41.761845,686.723,15.387,13.977,0
Kepler-205 b,Kepler-205,1,1,2,Transit,2014,2.75564,0.032,1.51,0.135,,,,,,,,4321.0,0.55,,,,4.74,,19h01m08.81s,285.2866912,+41d51m39.37s,41.8609357,159.72,15.203,13.779,0
Kepler-205 c,Kepler-205,1,1,2,Transit,2014,20.306546,0.122,1.64,0.146,,,,,,,,4321.0,0.55,,,,4.74,,19h01m08.81s,285.2866912,+41d51m39.37s,41.8609357,159.72,15.203,13.779,0
Kepler-206 b,Kepler-206,1,1,3,Transit,2014,7.781987,0.078,1.2,0.107,,,,,,,,5764.0,1.19,,,,4.31,,19h26m32.32s,291.6346564,+41d50m01.83s,41.8338415,594.447,14.427,13.507,0
Kepler-206 c,Kepler-206,1,1,3,Transit,2014,13.137471,0.111,1.77,0.158,,,,,,,,5764.0,1.19,,,,4.31,,19h26m32.32s,291.6346564,+41d50m01.83s,41.8338415,594.447,14.427,13.507,0
Kepler-206 d,Kepler-206,1,1,3,Transit,2014,23.44281,0.163,1.19,0.106,,,,,,,,5764.0,1.19,,,,4.31,,19h26m32.32s,291.6346564,+41d50m01.83s,41.8338415,594.447,14.427,13.507,0
Kepler-207 b,Kepler-207,1,1,3,Transit,2014,1.611865,0.029,1.57,0.14,,,,,,,,5920.0,1.59,,,,4.13,,19h20m07.32s,290.0305195,+42d09m57.80s,42.1660555,875.519,13.724,13.164,0
Kepler-207 c,Kepler-207,1,1,3,Transit,2014,3.071571,0.044,1.5,0.134,,,,,,,,5920.0,1.59,,,,4.13,,19h20m07.32s,290.0305195,+42d09m57.80s,42.1660555,875.519,13.724,13.164,0
Kepler-207 d,Kepler-207,1,1,3,Transit,2014,5.868075,0.068,3.31,0.295,,,,,,,,5920.0,1.59,,,,4.13,,19h20m07.32s,290.0305195,+42d09m57.80s,42.1660555,875.519,13.724,13.164,0
Kepler-208 b,Kepler-208,1,1,4,Transit,2014,4.22864,0.054,1.63,0.145,,,,,,,,6092.0,1.31,,,,4.26,,19h35m33.65s,293.8901979,+42d31m40.59s,42.5279413,775.328,14.109,13.561,0
Kepler-208 c,Kepler-208,1,1,4,Transit,2014,7.466623,0.079,1.39,0.124,,,,,,,,6092.0,1.31,,,,4.26,,19h35m33.65s,293.8901979,+42d31m40.59s,42.5279413,775.328,14.109,13.561,0
Kepler-208 d,Kepler-208,1,1,4,Transit,2014,11.131786,0.103,1.2,0.107,,,,,,,,6092.0,1.31,,,,4.26,,19h35m33.65s,293.8901979,+42d31m40.59s,42.5279413,775.328,14.109,13.561,0
Kepler-208 e,Kepler-208,1,1,4,Transit,2014,16.259458,0.132,1.48,0.132,,,,,,,,6092.0,1.31,,,,4.26,,19h35m33.65s,293.8901979,+42d31m40.59s,42.5279413,775.328,14.109,13.561,0
Kepler-209 b,Kepler-209,1,1,2,Transit,2014,16.087845,0.122,2.26,0.202,,,,,,,,5513.0,0.94,,,,4.47,,19h24m40.67s,291.1694567,+42d38m26.62s,42.6407281,576.946,14.786,14.132,0
Kepler-209 c,Kepler-209,1,1,2,Transit,2014,41.749882,0.231,3.1,0.277,,,,,,,,5513.0,0.94,,,,4.47,,19h24m40.67s,291.1694567,+42d38m26.62s,42.6407281,576.946,14.786,14.132,0
Kepler-21 b,Kepler-21,1,2,1,Transit,2012,2.7858212,0.0434,1.639,0.146,7.5,0.0236,Mass,0.0,2749.0,2015.0,,6305.0,1.9,1.41,-0.03,[Fe/H],,2.84,19h09m26.87s,287.3619673,+38d42m50.90s,38.7141384,108.522,8.431,8.25,0
Kepler-210 b,Kepler-210,1,1,2,Transit,2014,2.453234,0.032,2.94,0.262,,,,,,,,4559.0,0.65,,,,4.66,,19h30m00.82s,292.5034196,+43d04m59.59s,43.0832188,232.75,15.367,14.126,0
Kepler-210 c,Kepler-210,1,1,2,Transit,2014,7.972513,0.07,3.62,0.323,,,,,,,,4559.0,0.65,,,,4.66,,19h30m00.82s,292.5034196,+43d04m59.59s,43.0832188,232.75,15.367,14.126,0
Kepler-211 b,Kepler-211,1,1,2,Transit,2014,4.138575,0.048,1.26,0.112,,,,,,,,5123.0,0.82,,,,4.55,,19h01m45.39s,285.4391183,+43d10m06.62s,43.1685051,309.353,14.335,13.448,0
Kepler-211 c,Kepler-211,1,1,2,Transit,2014,6.04045,0.062,1.29,0.115,,,,,,,,5123.0,0.82,,,,4.55,,19h01m45.39s,285.4391183,+43d10m06.62s,43.1685051,309.353,14.335,13.448,0
Kepler-212 b,Kepler-212,1,1,2,Transit,2014,16.257582,0.133,1.09,0.097,,,,,,,,5852.0,1.46,,,,4.18,,19h10m29.00s,287.6208165,+43d08m29.85s,43.1416239,687.194,13.776,13.129,0
Kepler-212 c,Kepler-212,1,1,2,Transit,2014,31.805174,0.207,2.74,0.244,,,,,,,,5852.0,1.46,,,,4.18,,19h10m29.00s,287.6208165,+43d08m29.85s,43.1416239,687.194,13.776,13.129,0
Kepler-213 b,Kepler-213,1,1,2,Transit,2014,2.46236,0.036,1.62,0.145,,,,,,,,5696.0,1.2,,,,4.31,,19h23m17.81s,290.8241931,+44d38m50.22s,44.6472832,634.939,14.649,13.705,0
Kepler-213 c,Kepler-213,1,1,2,Transit,2014,4.822962,0.057,2.34,0.209,,,,,,,,5696.0,1.2,,,,4.31,,19h23m17.81s,290.8241931,+44d38m50.22s,44.6472832,634.939,14.649,13.705,0
Kepler-214 b,Kepler-214,1,1,2,Transit,2014,15.660544,0.13,2.61,0.233,,,,,,,,6169.0,1.35,,,,4.25,,18h59m01.16s,284.7548499,+44d57m21.78s,44.95605,1208.44,14.567,14.057,0
Kepler-214 c,Kepler-214,1,1,2,Transit,2014,28.7798,0.194,2.13,0.19,,,,,,,,6169.0,1.35,,,,4.25,,18h59m01.16s,284.7548499,+44d57m21.78s,44.95605,1208.44,14.567,14.057,0
